Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Spain's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Spain (%)	
"French Polynesia"	51058	50972	0	22	173	165	0	1	13300	0.24		
"Nicaragua"	49162	3635	0	-6	18	104	0.05	4	5888	0.1		
"Cayman Islands"	46267	41784	0	11	143	123	0.03	5	7522	0.35		
"Yemen"	45514	41210	0	12	24	107	0.04	11	5706	0.11		
"Falkland Islands (Malvinas)"	44687	-212480	0	1	55	207	0	2	12325	0.46		
"Ethiopia"	43882	15052	0	-13	-13	90	0.07	1	6305	0.11		
"Macao, China"	40867	39185	0	12	172	81	0.09	15		0.17		
"Gabon"	40222	-228658	0	3	14	158	0.01	-2	7114	0.11		
"Jamaica"	39515	36545	0	-12	-15	137	0.02	-2	6759	0.22		
"Syrian Arab Republic"	39208	25277	0	-8	-8	139	0.02	-3	2496	0.27		
"Armenia"	35763	-40440	0	-1	72	131	0.02	6	3323	0.15		
"Djibouti"	35417	35253	0	-10	55	130	0.02	5	6387	0.22		
"Montenegro"	34339	-56442	0	-4	32	152	0.01	0	2382	0.08		
"Sudan"	33398	33022	0	-2	-19	122	0.03	-2		0.13		
"Madagascar"	33188	3392	0	-7	3	138	0.02	2	7339	0.08		
"Congo"	30887	18368	0	0	26	154	0.01	-18	6851	0.07		
"Gambia"	27866	23526	0	-3	15	167	0	7	8260	0.14		
"Namibia"	27597	-226666	0	-19	-38	126	0.03	-1	3757	0.37		
"New Caledonia"	26481	-42877	0	-2	-3	155	0.01	-1	11471	0.2		
"Cambodia"	24951	-741206	0	0	-7	66	0.1	16	2651	0.18		
"Myanmar"	24210	-624083	0	-2	6	79	0.10	-1	2536	0.25		
