Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Netherlands's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Netherlands (%)	
"Antigua and Barbuda"	10860	10698	0	13	7	174	0	1	6334	0.27		
"Fiji"	10732	8149	0	-4	161	157	0.01	-7	7384	0.12		
"Lao People's Democratic Republic"	10077	-13172	0	24	50	129	0.02	-1	2572	0.28		
"Botswana"	9956	9247	0	-2	42	124	0.03	2	2968	0.52		
"Belize"	9020	5407	0	8	21	179	0	1	5006	0.18		
"Saint Lucia"	7437	7406	0	-5	-15	171	0	-10	5321	0.23		
"Greenland"	6584	5063	0	-4	-36	180	0	6	3482	0.44		
"Grenada"	6056	4944	0	-3	15	191	0	-1	4157	0.2		
"Timor-Leste"	5542	5466	0	0	194	183	0	12	3988	0.22		
"Eswatini"	5353	-3461	0	15	23	160	0	1	1597	0.74		
"Samoa"	5197	3029	0	41	440	197	0	-1	6816	0.13		
"Bermuda"	5154	-95479	0	7	-98	169	0	-3	8006	0.28		
"Comoros"	4565	3265	0	6	17	192	0	18	5731	0.22		
"Eritrea"	4186	4185	0	7	-23	203	0	-8	6303	0.14		
"United States Minor Outlying Islands"	4178	3970	0	0	-2	177	0	0		0.21		
"Dominica"	3975	3945	0	-5	60	185	0	8	4908	0.65		
"Sao Tome and Principe"	3315	-968	0	12	-27	210	0	-3	6155	0.31		
"French Southern and Antarctic Territories"	2890	2877	0	21	-10	214	0	14		0.12		
"Bhutan"	2632	2614	0	27	82	178	0	15	1733	0.63		
"Lesotho"	2279	1093	0	25	40	164	0	-2	1590	0.78		
"Turks and Caicos Islands"	1917	1909	0	5	56	193	0	-3	3491	0.74		
"Anguilla"	1844	1715	0	28	-33	212	0	-5	4397	0.58		
"Saint Pierre and Miquelon"	1631	1416	0	-5	16	215	0	10	3489	0.45		
"Saint Kitts and Nevis"	1393	1379	0	6	-18	201	0	-12	5440	0.41		
"Solomon Islands"	1283	-21199	0	4	-35	190	0	0	6301	0.17		
"Falkland Islands (Malvinas)"	1262	1078	0	-28	20	207	0	2	12325	0.46		
"Kiribati"	939	919	0	54	410	205	0	10	5936	0.13		
"Wallis and Futuna Islands"	879	879	0	-2	-32	218	0	7	10103	0.24		
"Cook Islands"	695	695	0	13	104	206	0	-4	9417	0.22		
"Vanuatu"	623	552	0	7	71	198	0	-2	6248	0.13		
"Korea, Democratic People's Republic of"	447	-3025	0	-25	66	200	0	-49	1470	0.87		
"Tonga"	380	365	0	33	103	202	0	4	5771	0.16		
"Palau"	243	243	0	-3	224	209	0	1	6232	0.16		
"Northern Mariana Islands"	219	218	0	-23	18	216	0	-19	3811	0.2		
"Montserrat"	199	154	0	-16	24	224	0	-7		0.49		
"Micronesia, Federated States of"	153	153	0	-7	26	208	0	-8	7109	0.19		
"British Indian Ocean Territory"	143	143	0	-14	-39	219	0	-9		0.67		
"Saint Helena"	135	104	0	36	366	217	0	6	7699	0.31		
"Nauru"	133	-90	0		2560	211	0	18	6014	0.27		
"Western Sahara"	120	120	0	8	2900	221	0	-16	12469	0.9		
"Tuvalu"	39	32	0	-16	290	204	0	17	6386	0.21		
"Tokelau"	21	-38	0	-60	950	226	0	-33	11566	0.22		
"Pitcairn"	13	13	0	-42	117	227	0	-5		0.23		
"Christmas Island"	9	2	0			220	0	3		0.69		
"Norfolk Island"		-39				222	0	1	5454	0.24		
"Cocos (Keeling) Islands"		-93				225	0	8		0.74		
"United Kingdom"						7	3.2	1	3930	0.06		
"Free Zones"						186	0	-34		0.92		
"Niue"						223	0	7	11410	0.48		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
