Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Singapore's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Singapore (%)	
"Nauru"	499	380	0	-32	-14	211	0	18	6014	0.27		
"Haiti"	393	-561	0	-29	-71	140	0.02	0	6340	0.18		
"Rwanda"	342	166	0	9	-70	159	0.01	17	5437	0.08		
"Wallis and Futuna Islands"	324	304	0	-1	-40	218	0	7	10103	0.24		
"British Virgin Islands"	287	285	0	-15	-46	156	0.01	8	7242	0.27		
"Guinea-Bissau"	225	224	0	6	144	195	0	2	5802	0.16		
"Christmas Island"	220	119	0	-19	-53	220	0	3		0.69		
"Oceania Nes"	212	212	0	-43								
"Eswatini"	171	-767	0	-41	-83	160	0	1	1597	0.74		
"Tajikistan"	109	96	0	-47	7	142	0.02	9	2803	0.17		
"Lesotho"	101	-7	0	-26	9	164	0	-2	1590	0.78		
"Grenada"	74	2	0	-51	-95	191	0	-1	4157	0.2		
"Faroe Islands"	67	-1	0	-9	-92	172	0	7	1404	0.27		
"Aruba"	45	6	0	-38	-69	175	0	-3	4917	0.3		
"Andorra"	40	-620	0	-19	-95	166	0	2	610	0.52		
"Burundi"	37	-17	0	-24	53	188	0	13	4755	0.14		
"Turks and Caicos Islands"	16	-39	0	-53	-89	193	0	-3	3491	0.74		
"Africa not elsewhere specified"	11	-2	0		-98							
"Anguilla"	10	-32	0		-87	212	0	-5	4397	0.58		
"Tokelau"	6	-4696	0	35	-98	226	0	-33	11566	0.22		
"Greenland"	4	-18	0	-43		180	0	6	3482	0.44		
"Europe Othr. Nes"		-1										
"Montserrat"		-5				224	0	-7		0.49		
"Saint Pierre and Miquelon"		-9				215	0	10	3489	0.45		
"Pitcairn"		-15				227	0	-5		0.23		
"Norfolk Island"		-30				222	0	1	5454	0.24		
"Cocos (Keeling) Islands"		-84				225	0	8		0.74		
"Eritrea"		-197				203	0	-8	6303	0.14		
"French Southern and Antarctic Territories"		-232				214	0	14		0.12		
"Falkland Islands (Malvinas)"		-704				207	0	2	12325	0.46		
"Saint Helena"		-975				217	0	6	7699	0.31		
"Ship stores and bunkers"						75	0.1	-11		0.16		
"Palestine, State of"						176	0	8	3026	0.1		
"Free Zones"						186	0	-34		0.92		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
"Korea, Democratic People's Republic of"						200	0	-49	1470	0.87		
"Sint Maarten (Dutch part)"						213	0	-7		0.43		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
