Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Turkey's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Turkey (%)	
"Falkland Islands (Malvinas)"	120	118	0		-78	207	0	2	12325	0.46		
"Solomon Islands"	112	112	0	52	-38	190	0	0	6301	0.17		
"Micronesia, Federated States of"	101	101	0	63	189	208	0	-8	7109	0.19		
"Niue"	82	-72	0		301	223	0	7	11410	0.48		
"Bhutan"	73	-728	0	-26	1023	178	0	15	1733	0.63		
"Wallis and Futuna Islands"	65	65	0	75	-89	218	0	7	10103	0.24		
"Tokelau"	63	53	0			226	0	-33	11566	0.22		
"Greenland"	30	28	0	12	-80	180	0	6	3482	0.44		
"Curaçao"	12	12	0	-24	-78	163	0	-12		0.24		
"Christmas Island"	8	8	0		166	220	0	3		0.69		
"Northern Mariana Islands"	3	3	0	-65		216	0	-19	3811	0.2		
"Nauru"		-63				211	0	18	6014	0.27		
"Ship stores and bunkers"						75	0.1	-11		0.16		
"Free Zones"						186	0	-34		0.92		
"Bonaire, Sint Eustatius and Saba"						189	0	20		0.19		
"South Sudan"						194	0	12		0.25		
"Korea, Democratic People's Republic of"						200	0	-49	1470	0.87		
"Sint Maarten (Dutch part)"						213	0	-7		0.43		
"Saint Pierre and Miquelon"						215	0	10	3489	0.45		
"Western Sahara"						221	0	-16	12469	0.9		
"Norfolk Island"						222	0	1	5454	0.24		
"Montserrat"						224	0	-7		0.49		
"Cocos (Keeling) Islands"						225	0	8		0.74		
"Pitcairn"						227	0	-5		0.23		
"West Asia not elsewhere specified"						228	0			1		
"British Antarctic Territory"						229	0			1		
